Location,x,t,nKx
Japan,35,1995,7772278
Japan,40,1995,8856353
Japan,45,1995,10589825
Japan,50,1995,8961957
Japan,55,1995,7962023
Japan,60,1995,7502776
Japan,65,1995,6476880
Japan,70,1995,4810824
Japan,75,1995,3363490
Japan,80,1995,2402264
Japan,85,1995,1198060
Japan,90,1995,413099
Japan,95,1995,93972
Japan,100,1995,10297
Japan,0,1996,5942756
Japan,5,1996,6256359
Japan,10,1996,7036702
Japan,15,1996,8203067
Japan,20,1996,9900261
Japan,25,1996,9120458
Japan,30,1996,8166364
Japan,35,1996,7722037
Japan,40,1996,8462098
Japan,45,1996,10949304
Japan,50,1996,8716524
Japan,55,1996,8107069
Japan,60,1996,7644617
Japan,65,1996,6616794
Japan,70,1996,5086499
Japan,75,1996,3480666
Japan,80,1996,2473214
Japan,85,1996,1285702
Japan,90,1996,439430
Japan,95,1996,104535
Japan,100,1996,11767
Japan,0,1997,5931242
Japan,5,1997,6132665
Japan,10,1997,6904781
Japan,15,1997,7895324
Japan,20,1997,9681896
Japan,25,1997,9449486
Japan,30,1997,8221855
Japan,35,1997,7756569
Japan,40,1997,8135948
Japan,45,1997,10762268
Japan,50,1997,8821448
Japan,55,1997,8318719
Japan,60,1997,7748867
Japan,65,1997,6756848
Japan,70,1997,5376676
Japan,75,1997,3614844
Japan,80,1997,2533611
Japan,85,1997,1376467
Japan,90,1997,477948
Japan,95,1997,116868
Japan,100,1997,13653
Japan,0,1998,5925797
Japan,5,1998,6012425
Japan,10,1998,6771105
Japan,15,1998,7637892
Japan,20,1998,9338868
Japan,25,1998,9616823
Japan,30,1998,8456498
Japan,35,1998,7828055
Japan,40,1998,7923015
Japan,45,1998,10103613
Japan,50,1998,9315834
Japan,55,1998,8568299
Japan,60,1998,7770911
Japan,65,1998,6900604
Japan,70,1998,5629892
Japan,75,1998,3800555
Japan,80,1998,2575621
Japan,85,1998,1459932
Japan,90,1998,526833
Japan,95,1998,129916
Japan,100,1998,15905
Japan,0,1999,5898247
Japan,5,1999,5950234
Japan,10,1999,6603778
Japan,15,1999,7430364
Japan,20,1999,8936968
Japan,25,1999,9806585
Japan,30,1999,8609582
Japan,35,1999,7925855
Japan,40,1999,7824910
Japan,45,1999,9345246
Japan,50,1999,9887352
Japan,55,1999,8810961
Japan,60,1999,7727449
Japan,65,1999,7037758
Japan,70,1999,5841167
Japan,75,1999,4030846
Japan,80,1999,2612523
Japan,85,1999,1536468
Japan,90,1999,577742
Japan,95,1999,142689
Japan,100,1999,18340
Japan,0,2000,5875043
Japan,5,2000,5936122
Japan,10,2000,6413699
Japan,15,2000,7262262
Japan,20,2000,8560492
Japan,25,2000,9885147
Japan,30,2000,8736009
Japan,35,2000,8087716
Japan,40,2000,7745002
Japan,45,2000,8748359
Japan,50,2000,10447380
Japan,55,2000,8782145
Japan,60,2000,7747200
Japan,65,2000,7183007
Japan,70,2000,6008158
Japan,75,2000,4272766
Japan,80,2000,2696133
Japan,85,2000,1607773
Japan,90,2000,631815
Japan,95,2000,156452
Japan,100,2000,21184
Japan,0,2001,5861384
Japan,5,2001,5923436
Japan,10,2001,6260465
Japan,15,2001,7115524
Japan,20,2001,8219210
Japan,25,2001,9812287
Japan,30,2001,9069084
Japan,35,2001,8094553
Japan,40,2001,7695100
Japan,45,2001,8363022
Japan,50,2001,10806992
Japan,55,2001,8540843
Japan,60,2001,7899091
Japan,65,2001,7337083
Japan,70,2001,6149936
Japan,75,2001,4533561
Japan,80,2001,2817418
Japan,85,2001,1677824
Japan,90,2001,692230
Japan,95,2001,171916
Japan,100,2001,24772
